,Date,Province,Country,Lat,Long,Confirmed,Dealth,Recovered
196,2020-01-22,N/A,Sao Tome and Principe,0.1864,6.6131,0.0,0.0,0.0
197,2020-01-22,N/A,Saudi Arabia,23.885942,45.079162,0.0,0.0,0.0
198,2020-01-22,N/A,Senegal,14.4974,-14.4524,0.0,0.0,0.0
199,2020-01-22,N/A,Serbia,44.0165,21.0059,0.0,0.0,0.0
200,2020-01-22,N/A,Seychelles,-4.6796,55.492,0.0,0.0,0.0
201,2020-01-22,N/A,Sierra Leone,8.460555000000001,-11.779889,0.0,0.0,0.0
202,2020-01-22,N/A,Singapore,1.2833,103.8333,0.0,0.0,0.0
203,2020-01-22,N/A,Slovakia,48.669,19.699,0.0,0.0,0.0
204,2020-01-22,N/A,Slovenia,46.1512,14.9955,0.0,0.0,0.0
205,2020-01-22,N/A,Solomon Islands,-9.6457,160.1562,0.0,0.0,0.0
206,2020-01-22,N/A,Somalia,5.152149,46.199616,0.0,0.0,0.0
207,2020-01-22,N/A,South Africa,-30.5595,22.9375,0.0,0.0,0.0
208,2020-01-22,N/A,South Sudan,6.877000000000001,31.307,0.0,0.0,0.0
209,2020-01-22,N/A,Spain,40.463667,-3.7492199999999998,0.0,0.0,0.0
210,2020-01-22,N/A,Sri Lanka,7.873054,80.77179699999999,0.0,0.0,0.0
211,2020-01-22,N/A,Sudan,12.8628,30.2176,0.0,0.0,0.0
212,2020-01-22,N/A,Suriname,3.9193,-56.0278,0.0,0.0,0.0
213,2020-01-22,N/A,Sweden,60.128161,18.643501,0.0,0.0,0.0
214,2020-01-22,N/A,Switzerland,46.8182,8.2275,0.0,0.0,0.0
215,2020-01-22,N/A,Syria,34.802075,38.996815000000005,0.0,0.0,0.0
216,2020-01-22,N/A,Syria,34.8021,38.9968,,,0.0
217,2020-01-22,N/A,Taiwan*,23.7,121.0,1.0,0.0,0.0
218,2020-01-22,N/A,Tajikistan,38.861,71.2761,0.0,0.0,0.0
219,2020-01-22,N/A,Tanzania,-6.369028,34.888822,0.0,0.0,0.0
220,2020-01-22,N/A,Thailand,15.870032,100.992541,4.0,0.0,2.0
221,2020-01-22,N/A,Timor-Leste,-8.874217,125.727539,0.0,0.0,0.0
222,2020-01-22,N/A,Timor-Leste,-8.8742,125.7275,,,0.0
223,2020-01-22,N/A,Togo,8.6195,0.8248,0.0,0.0,0.0
224,2020-01-22,N/A,Trinidad and Tobago,10.6918,-61.2225,0.0,0.0,0.0
225,2020-01-22,N/A,Tunisia,33.886917,9.537499,0.0,0.0,0.0
226,2020-01-22,N/A,Turkey,38.9637,35.2433,0.0,0.0,0.0
227,2020-01-22,N/A,US,40.0,-100.0,1.0,0.0,0.0
228,2020-01-22,N/A,Uganda,1.373333,32.290275,0.0,0.0,0.0
229,2020-01-22,N/A,Ukraine,48.3794,31.1656,0.0,0.0,0.0
230,2020-01-22,N/A,United Arab Emirates,23.424076,53.847818000000004,0.0,0.0,0.0
231,2020-01-22,N/A,United Kingdom,55.3781,-3.4360000000000004,0.0,0.0,0.0
232,2020-01-22,N/A,Uruguay,-32.5228,-55.7658,0.0,0.0,0.0
233,2020-01-22,N/A,Uzbekistan,41.377491,64.585262,0.0,0.0,0.0
234,2020-01-22,N/A,Vanuatu,-15.3767,166.9592,0.0,0.0,0.0
235,2020-01-22,N/A,Venezuela,6.4238,-66.5897,0.0,0.0,0.0
236,2020-01-22,N/A,Vietnam,14.058323999999999,108.277199,0.0,0.0,0.0
237,2020-01-22,N/A,West Bank and Gaza,31.9522,35.2332,0.0,0.0,0.0
238,2020-01-22,N/A,Yemen,15.552726999999999,48.516388,0.0,0.0,0.0
239,2020-01-22,N/A,Zambia,-13.133897,27.849332,0.0,0.0,0.0
240,2020-01-22,N/A,Zimbabwe,-19.015438,29.154857,0.0,0.0,0.0
241,2020-01-22,New Brunswick,Canada,46.5653,-66.4619,0.0,0.0,0.0
242,2020-01-22,New Caledonia,France,-20.904304999999997,165.618042,0.0,0.0,0.0
243,2020-01-22,New South Wales,Australia,-33.8688,151.2093,0.0,0.0,0.0
244,2020-01-22,Newfoundland and Labrador,Canada,53.1355,-57.6604,0.0,0.0,0.0
245,2020-01-22,Ningxia,China,37.2692,106.1655,1.0,0.0,0.0
246,2020-01-22,Northern Territory,Australia,-12.4634,130.8456,0.0,0.0,0.0
247,2020-01-22,Northwest Territories,Canada,64.8255,-124.8457,0.0,0.0,0.0
248,2020-01-22,Nova Scotia,Canada,44.681999999999995,-63.7443,0.0,0.0,0.0
249,2020-01-22,Nunavut,Canada,70.2998,-83.1076,0.0,0.0,0.0
250,2020-01-22,Ontario,Canada,51.2538,-85.3232,0.0,0.0,0.0
251,2020-01-22,Prince Edward Island,Canada,46.5107,-63.4168,0.0,0.0,0.0
252,2020-01-22,Qinghai,China,35.7452,95.9956,0.0,0.0,0.0
253,2020-01-22,Quebec,Canada,52.9399,-73.5491,0.0,0.0,0.0
254,2020-01-22,Queensland,Australia,-27.4698,153.0251,0.0,0.0,0.0
255,2020-01-22,Reunion,France,-21.1151,55.5364,0.0,0.0,0.0
256,2020-01-22,Saint Barthelemy,France,17.9,-62.8333,0.0,0.0,0.0
257,2020-01-22,"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,0.0,0.0,0.0
258,2020-01-22,Saint Pierre and Miquelon,France,46.8852,-56.3159,0.0,0.0,0.0
259,2020-01-22,Saskatchewan,Canada,52.9399,-106.4509,0.0,0.0,0.0
260,2020-01-22,Shaanxi,China,35.1917,108.8701,0.0,0.0,0.0
261,2020-01-22,Shandong,China,36.3427,118.1498,2.0,0.0,0.0
262,2020-01-22,Shanghai,China,31.201999999999998,121.4491,9.0,0.0,0.0
263,2020-01-22,Shanxi,China,37.5777,112.2922,1.0,0.0,0.0
264,2020-01-22,Sichuan,China,30.6171,102.7103,5.0,0.0,0.0
265,2020-01-22,Sint Maarten,Netherlands,18.0425,-63.0548,0.0,0.0,0.0
266,2020-01-22,South Australia,Australia,-34.9285,138.6007,0.0,0.0,0.0
267,2020-01-22,St Martin,France,18.0708,-63.0501,0.0,0.0,0.0
268,2020-01-22,Tasmania,Australia,-42.8821,147.3272,0.0,0.0,0.0
269,2020-01-22,Tianjin,China,39.3054,117.323,4.0,0.0,0.0
270,2020-01-22,Tibet,China,31.6927,88.0924,0.0,0.0,0.0
271,2020-01-22,Turks and Caicos Islands,United Kingdom,21.694000000000003,-71.7979,0.0,0.0,0.0
272,2020-01-22,Victoria,Australia,-37.8136,144.9631,0.0,0.0,0.0
273,2020-01-22,Wallis and Futuna,France,-14.2938,-178.1165,0.0,0.0,0.0
274,2020-01-22,Western Australia,Australia,-31.9505,115.8605,0.0,0.0,0.0
275,2020-01-22,Xinjiang,China,41.1129,85.2401,0.0,0.0,0.0
276,2020-01-22,Yukon,Canada,64.2823,-135.0,0.0,0.0,0.0
277,2020-01-22,Yunnan,China,24.974,101.48700000000001,1.0,0.0,0.0
278,2020-01-22,Zhejiang,China,29.1832,120.0934,10.0,0.0,0.0
